Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
94685573,4/28/2020 11:03,4/28/2020 11:06,70490,219,49601,Smallman St & 31st St,49601,Smallman St & 31st St,Customer
94685578,4/28/2020 11:03,4/28/2020 11:07,70023,221,49601,Smallman St & 31st St,49601,Smallman St & 31st St,Customer
94687225,4/28/2020 11:45,4/28/2020 12:20,70147,2080,1084,Hot Metal St & Tunnel Blvd,1084,Hot Metal St & Tunnel Blvd,Customer
94687856,4/28/2020 12:02,4/28/2020 14:14,70506,7937,1001,Forbes Ave & Market Square,1001,Forbes Ave & Market Square,Customer
94687916,4/28/2020 12:04,4/28/2020 12:13,70229,544,1088,Frazier St & Dawson St,1084,Hot Metal St & Tunnel Blvd,Subscriber
94688616,4/28/2020 12:22,4/28/2020 12:29,70271,439,49441,Roup Ave & Friendship Ave,1043,S Millvale Ave & Centre Ave,Subscriber
94689212,4/28/2020 12:36,4/28/2020 12:44,70423,444,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
94689284,4/28/2020 12:38,4/28/2020 13:22,70569,2594,1049,S 12th St & E Carson St,1049,S 12th St & E Carson St,Customer
94689497,4/28/2020 12:45,4/28/2020 12:46,70423,62,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
94689689,4/28/2020 12:50,4/28/2020 12:51,70676,68,,BIKE 70676,,BIKE 70676,Customer
94690202,4/28/2020 13:05,4/28/2020 13:09,70616,232,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
94690221,4/28/2020 13:06,4/28/2020 13:20,70235,822,1093,S Bouquet Ave & Sennott St,1022,Liberty Ave & S Millvale Ave (West Penn Hospital),Subscriber
94690311,4/28/2020 13:08,4/28/2020 13:11,70667,142,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
94690426,4/28/2020 13:11,4/28/2020 13:13,70143,137,1013,Isabella St & Federal St (PNC Park),,BIKE 70143,Customer
